Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date,Work_Packet
2258046E,2258046E,ON,2_21_07 12-39-04 AM,Oj_102
4548626E,4548626E,ON,2_21_07 12-39-04 AM,Oj_102
2119178E,2119178E,ON,2_21_07 12-39-04 AM,Oj_102
4482344E,4482344E,ON,2_21_07 12-39-04 AM,Oj_102
4170205E,4170205E,ON,2_21_07 12-39-04 AM,Oj_102
2148462E,2148462E,ON,2_21_07 12-39-04 AM,Oj_102
2120207E,2120207E,ON,2_21_07 12-39-04 AM,Oj_102
2333117E,2333117E,ON,2_21_07 12-39-04 AM,Oj_102
4288060E,4288060E,ON,2_21_07 12-39-04 AM,Oj_102
4288060E,4288060E,ON,2_21_07 12-39-04 AM,Oj_102
2149072E,2149072E,ON,2_21_07 12-39-04 AM,Oj_102
2148449E,2148449E,ON,2_21_07 12-39-04 AM,Oj_102
2258540E,2258540E,ON,2_21_07 12-39-04 AM,Oj_102
2258374E,2258374E,ON,2_21_07 12-39-04 AM,Oj_102
4437788E,4437788E,ON,2_21_07 12-39-04 AM,Oj_102
2257967E,2257967E,ON,2_21_07 12-39-04 AM,Oj_102
2149660E,2149660E,ON,2_21_07 12-39-04 AM,Oj_102
2149078E,2149078E,ON,2_21_07 12-39-04 AM,Oj_102
2119230E,2119230E,ON,2_21_07 12-39-04 AM,Oj_102
2118878E,2118878E,ON,2_21_07 12-39-04 AM,Oj_102
2258250E,2258250E,ON,2_21_07 12-39-04 AM,Oj_102
2120043E,2120043E,ON,2_21_07 12-39-04 AM,Oj_102
2258362E,2258362E,ON,2_21_07 12-39-04 AM,Oj_102
2118877E,2118877E,ON,2_21_07 12-39-04 AM,Oj_102
2119059E,2119059E,ON,2_21_07 12-39-04 AM,Oj_102
1945466E,1945466E,ON,2_21_07 12-39-04 AM,Oj_102
2333414E,2333414E,ON,2_21_07 12-39-04 AM,Oj_102
2148468E,2148468E,ON,2_21_07 12-39-04 AM,Oj_102
2148468E,2148468E,ON,2_21_07 12-39-04 AM,Oj_102
2119022E,2119022E,ON,2_21_07 12-39-04 AM,Oj_102
2119022E,2119022E,ON,2_21_07 12-39-04 AM,Oj_102
1945456E,1945456E,ON,2_21_07 12-39-04 AM,Oj_102
2258377E,2258377E,ON,2_21_07 12-39-04 AM,Oj_102
2258292E,2258292E,ON,2_21_07 12-39-04 AM,Oj_102
2149142E,2149142E,ON,2_21_07 12-39-04 AM,Oj_102
4357110E,4357110E,ON,2_21_07 12-39-04 AM,Oj_102
2149278E,2149278E,ON,2_21_07 12-39-04 AM,Oj_102
2333393E,2333393E,ON,2_21_07 12-39-04 AM,Oj_102
2119922E,2119922E,ON,2_21_07 12-39-04 AM,Oj_102
2318762E,2318762E,ON,2_21_07 12-39-04 AM,Oj_102
2119037E,2119037E,ON,2_21_07 12-39-04 AM,Oj_102
2149209E,2149209E,ON,2_21_07 12-39-04 AM,Oj_102
2333083E,2333083E,ON,2_21_07 12-39-04 AM,Oj_102
2258371E,2258371E,ON,2_21_07 12-39-04 AM,Oj_102
1956697E,1956697E,ON,2_21_07 12-39-04 AM,Oj_102
2333395E,2333395E,ON,2_21_07 12-39-04 AM,Oj_102
2148456E,2148456E,ON,2_21_07 12-39-04 AM,Oj_102
2119294E,2119294E,ON,2_21_07 12-39-04 AM,Oj_102
2149268E,2149268E,ON,2_21_07 12-39-04 AM,Oj_102
2258538E,2258538E,ON,2_21_07 12-39-04 AM,Oj_102
2318387E,2318387E,ON,2_21_07 12-39-04 AM,Oj_102
2119054E,2119054E,ON,2_21_07 12-39-04 AM,Oj_102
1911625E,1911625E,ON,2_21_07 12-39-04 AM,Oj_102
2251565E,2251565E,ON,2_21_07 12-39-04 AM,Oj_102
2258278E,2258278E,ON,2_21_07 12-39-04 AM,Oj_102
2119393E,2119393E,ON,2_21_07 12-39-04 AM,Oj_102
4486632E,4486632E,ON,2_21_07 12-39-04 AM,Oj_102
4548634E,4548634E,ON,2_21_07 12-39-04 AM,Oj_102
2258285E,2258285E,ON,2_21_07 12-39-04 AM,Oj_102
2148324E,2148324E,ON,2_21_07 12-39-04 AM,Oj_102
2149269E,2149269E,ON,2_21_07 12-39-04 AM,Oj_102
4153509E,4153509E,ON,2_21_07 12-39-04 AM,Oj_102
2258910E,2258910E,ON,2_21_07 12-39-04 AM,Oj_102
2258677E,2258677E,ON,2_21_07 12-39-04 AM,Oj_102
2258682E,2258682E,ON,2_21_07 12-39-04 AM,Oj_102
2119698E,2119698E,ON,2_21_07 12-39-04 AM,Oj_102
2258086E,2258086E,OFF,2_20_07 10-40-42 PM,Oj_102
4288069E,4288069E,ON,2_21_07 12-39-04 AM,Oj_102
4288069E,4288069E,ON,2_21_07 12-39-04 AM,Oj_102
2258006E,2258006E,ON,2_21_07 12-39-04 AM,Oj_102
2258694E,2258694E,ON,2_21_07 12-39-04 AM,Oj_102
2257777E,2257777E,ON,2_21_07 12-39-04 AM,Oj_102
2194750E,2194750E,ON,2_20_07 9-39-53 PM,Oj_102
2258667E,2258667E,ON,2_21_07 12-39-04 AM,Oj_102
2119078E,2119078E,ON,2_21_07 12-39-04 AM,Oj_102
2119116E,2119116E,ON,2_21_07 12-39-05 AM,Oj_102
2149655E,2149655E,ON,2_21_07 12-39-05 AM,Oj_102
4609118E,4609118E,ON,2_21_07 12-39-05 AM,Oj_102
2119153E,2119153E,ON,2_21_07 12-39-05 AM,Oj_102
4008386E,4008386E,ON,2_21_07 12-39-05 AM,Oj_102
2258366E,2258366E,ON,2_21_07 12-39-05 AM,Oj_102
2119921E,2119921E,ON,2_21_07 12-39-05 AM,Oj_102
2258686E,2258686E,ON,2_21_07 12-39-05 AM,Oj_102
2318389E,2318389E,ON,2_21_07 12-39-05 AM,Oj_102
2333638E,2333638E,ON,2_21_07 12-39-05 AM,Oj_102
2149206E,2149206E,ON,2_21_07 12-39-05 AM,Oj_102
4400696E,4400696E,ON,2_21_07 12-39-05 AM,Oj_102
2119694E,2119694E,ON,2_21_07 12-39-05 AM,Oj_102
2148290E,2148290E,ON,2_21_07 12-39-05 AM,Oj_102
2119672E,2119672E,ON,2_21_07 12-39-05 AM,Oj_102
2258613E,2258613E,ON,2_21_07 12-39-05 AM,Oj_102
2258613E,2258613E,ON,2_21_07 12-39-05 AM,Oj_102
4482958E,4482958E,ON,2_21_07 12-39-05 AM,Oj_102
2196498E,2196498E,ON,2_21_07 12-39-05 AM,Oj_102
4548633E,4548633E,ON,2_21_07 12-39-05 AM,Oj_102
4486642E,4486642E,ON,2_21_07 12-39-05 AM,Oj_102
2149260E,2149260E,ON,2_21_07 12-39-05 AM,Oj_102
4633901E,4633901E,OFF,2_20_07 11-30-03 PM,Oj_102
4288064E,4288064E,ON,2_21_07 12-39-05 AM,Oj_102
2149603E,2149603E,ON,2_21_07 12-39-05 AM,Oj_102
1911641E,1911641E,ON,2_21_07 12-39-05 AM,Oj_102
4483246E,4483246E,ON,2_21_07 12-39-05 AM,Oj_102
4550486E,4550486E,ON,2_21_07 12-39-05 AM,Oj_102
4400691E,4400691E,ON,2_21_07 12-39-05 AM,Oj_102
4400691E,4400691E,ON,2_21_07 12-39-05 AM,Oj_102
2333147E,2333147E,ON,2_21_07 12-39-05 AM,Oj_102
2149302E,2149302E,ON,2_21_07 12-39-05 AM,Oj_102
2258295E,2258295E,ON,2_21_07 12-39-05 AM,Oj_102
2195837E,2195837E,ON,2_21_07 12-39-05 AM,Oj_102
1945473E,1945473E,ON,2_21_07 12-39-05 AM,Oj_102
2318384E,2318384E,ON,2_21_07 12-39-05 AM,Oj_102
2148960E,2148960E,ON,2_21_07 12-39-05 AM,Oj_102
2119896E,2119896E,ON,2_21_07 12-39-05 AM,Oj_102
2257781E,2257781E,ON,2_21_07 12-39-05 AM,Oj_102
2148459E,2148459E,ON,2_21_07 12-39-05 AM,Oj_102
2148461E,2148461E,ON,2_21_07 12-39-05 AM,Oj_102
2149069E,2149069E,ON,2_21_07 12-39-05 AM,Oj_102
2119693E,2119693E,ON,2_21_07 12-39-05 AM,Oj_102
2318303E,2318303E,ON,2_21_07 12-39-05 AM,Oj_102
2148443E,2148443E,ON,2_21_07 12-39-05 AM,Oj_102
4437794E,4437794E,ON,2_21_07 12-39-05 AM,Oj_102
4609117E,4609117E,ON,2_21_07 12-39-05 AM,Oj_102
2258375E,2258375E,ON,2_21_07 12-39-05 AM,Oj_102
4437790E,4437790E,ON,2_21_07 12-39-05 AM,Oj_102
2257105E,2257105E,ON,2_21_07 12-39-05 AM,Oj_102
2119152E,2119152E,ON,2_21_07 12-39-05 AM,Oj_102
2148125E,2148125E,ON,2_21_07 12-39-05 AM,Oj_102
2196599E,2196599E,ON,2_21_07 12-39-05 AM,Oj_102
2148118E,2148118E,ON,2_21_07 12-39-05 AM,Oj_102
2148118E,2148118E,ON,2_21_07 12-39-05 AM,Oj_102
2333033E,2333033E,ON,2_21_07 12-39-05 AM,Oj_102
2119232E,2119232E,ON,2_21_07 12-39-05 AM,Oj_102
2118891E,2118891E,ON,2_21_07 12-39-05 AM,Oj_102
2333137E,2333137E,ON,2_21_07 12-39-05 AM,Oj_102
4548632E,4548632E,ON,2_21_07 12-39-05 AM,Oj_102
2258355E,2258355E,OFF,2_20_07 11-25-36 PM,Oj_102
4361384E,4361384E,ON,2_21_07 12-39-05 AM,Oj_102
2148291E,2148291E,ON,2_21_07 12-39-05 AM,Oj_102
2119056E,2119056E,ON,2_21_07 12-39-05 AM,Oj_102
2149610E,2149610E,ON,2_21_07 12-39-05 AM,Oj_102
2149610E,2149610E,ON,2_21_07 12-39-05 AM,Oj_102
4153514E,4153514E,ON,2_21_07 12-39-05 AM,Oj_102
4153514E,4153514E,ON,2_21_07 12-39-05 AM,Oj_102
4153514E,4153514E,ON,2_21_07 12-39-05 AM,Oj_102
1956689E,1956689E,ON,2_21_07 12-39-05 AM,Oj_102
2119017E,2119017E,ON,2_21_07 12-39-05 AM,Oj_102
2119844E,2119844E,ON,2_21_07 12-39-05 AM,Oj_102
2119844E,2119844E,ON,2_21_07 12-39-05 AM,Oj_102
2258009E,2258009E,ON,2_21_07 12-39-05 AM,Oj_102
2258009E,2258009E,ON,2_21_07 12-39-05 AM,Oj_102
1945467E,1945467E,CYCLING,2_20_07 8-36-11 PM,Oj_102
2148460E,2148460E,ON,2_21_07 12-39-05 AM,Oj_102
2258378E,2258378E,ON,2_21_07 12-39-05 AM,Oj_102
2258912E,2258912E,ON,2_21_07 12-39-05 AM,Oj_102
2119286E,2119286E,ON,2_21_07 12-39-05 AM,Oj_102
2118895E,2118895E,ON,2_21_07 12-39-05 AM,Oj_102
2333001E,2333001E,ON,2_21_07 12-39-05 AM,Oj_102
2149602E,2149602E,ON,2_21_07 12-39-05 AM,Oj_102
2119034E,2119034E,ON,2_21_07 12-39-05 AM,Oj_102
2318760E,2318760E,ON,2_21_07 12-39-05 AM,Oj_102
2119904E,2119904E,OFF,2_20_07 9-30-21 PM,Oj_102
2120042E,2120042E,ON,2_21_07 12-39-05 AM,Oj_102
4437795E,4437795E,ON,2_21_07 12-39-05 AM,Oj_102
2148827E,2148827E,ON,2_21_07 12-39-05 AM,Oj_102
2148820E,2148820E,ON,2_21_07 12-39-05 AM,Oj_102
2148123E,2148123E,ON,2_21_07 12-39-05 AM,Oj_102
2148123E,2148123E,ON,2_21_07 12-39-05 AM,Oj_102
2118585E,2118585E,ON,2_21_07 12-39-05 AM,Oj_102
1945453E,1945453E,ON,2_21_07 12-39-05 AM,Oj_102
2258685E,2258685E,ON,2_21_07 12-39-05 AM,Oj_102
2148454E,2148454E,ON,2_21_07 12-39-05 AM,Oj_102
4436322E,4436322E,ON,2_21_07 12-39-05 AM,Oj_102
4548631E,4548631E,ON,2_21_07 12-39-05 AM,Oj_102
2119688E,2119688E,ON,2_21_07 12-39-05 AM,Oj_102
2149558E,2149558E,ON,2_21_07 12-39-05 AM,Oj_102
2149558E,2149558E,ON,2_21_07 12-39-05 AM,Oj_102
2120120E,2120120E,ON,2_21_07 12-39-05 AM,Oj_102
2258089E,2258089E,ON,2_21_07 12-39-05 AM,Oj_102
1911627E,1911627E,ON,2_21_07 12-39-05 AM,Oj_102
2119235E,2119235E,ON,2_21_07 12-39-05 AM,Oj_102
2258279E,2258279E,ON,2_21_07 12-39-05 AM,Oj_102
2149318E,2149318E,ON,2_21_07 12-39-05 AM,Oj_102
2119110E,2119110E,ON,2_21_07 12-39-05 AM,Oj_102
2258286E,2258286E,ON,2_21_07 12-39-05 AM,Oj_102
4268468E,4268468E,ON,2_21_07 12-39-05 AM,Oj_102
2149279E,2149279E,ON,2_21_07 12-39-05 AM,Oj_102
2196496E,2196496E,OFF,2_20_07 11-50-54 PM,Oj_102
2258692E,2258692E,ON,2_21_07 12-39-05 AM,Oj_102
2149567E,2149567E,ON,2_21_07 12-39-05 AM,Oj_102
2119700E,2119700E,ON,2_21_07 12-39-05 AM,Oj_102
2258695E,2258695E,ON,2_21_07 12-39-05 AM,Oj_102
4288070E,4288070E,ON,2_21_07 12-39-05 AM,Oj_102
2149135E,2149135E,ON,2_21_07 12-39-05 AM,Oj_102
2149135E,2149135E,ON,2_21_07 12-39-05 AM,Oj_102
4471190E,4471190E,ON,2_21_07 12-39-05 AM,Oj_102
2258536E,2258536E,ON,2_21_07 12-39-05 AM,Oj_102
2258049E,2258049E,CYCLING,2_20_07 10-17-46 PM,Oj_102
