Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date
1000154E,1000154E,ON,3_3_08 2-14-59 AM
961826E,961826E,ON,3_3_08 2-14-59 AM
981120E,981120E,ON,3_3_08 2-14-59 AM
441935E,441935E,NIF,3_3_08 12-03-51 AM
4119901E,4119901E,ON,3_3_08 2-14-59 AM
4119906E,4119906E,ON,3_3_08 2-14-59 AM
1273396E,1273396E,ON,3_3_08 2-14-59 AM
2364841E,2364841E,NIF,3_3_08 1-45-18 AM
867679E,867679E,ON,3_3_08 2-14-59 AM
2283670E,2283670E,ON,3_3_08 2-14-59 AM
948753E,948753E,ON,3_3_08 2-14-59 AM
981104E,981104E,ON,3_3_08 2-14-59 AM
1698821E,1698821E,ON,3_3_08 2-14-59 AM
829908E,829908E,ON,3_3_08 2-14-59 AM
CONV507086,CONV507086,ON,3_3_08 2-14-59 AM
1456084E,1456084E,ON,3_3_08 2-14-59 AM
4119935E,4119935E,ON,3_3_08 2-14-59 AM
CONV506238,900922E,OFF,3_2_08 11-59-28 PM
1185767E,1185767E,ON,3_3_08 2-14-59 AM
1065692E,1065692E,ON,3_3_08 2-14-59 AM
645038E,645038E,NIF,3_3_08 12-06-08 AM
4119900E,4119900E,ON,3_3_08 2-14-59 AM
901245E,901245E,ON,3_3_08 2-14-59 AM
4119945E,4119945E,ON,3_3_08 2-14-59 AM
1185776E,1185776E,NIF,3_3_08 1-49-23 AM
441936E,441936E,NIF,3_3_08 12-04-18 AM
2244232E,2244232E,ON,3_3_08 2-14-59 AM
829938E,829938E,OFF,3_2_08 11-39-48 PM
867539E,867539E,ON,3_3_08 2-14-59 AM
961825E,961825E,ON,3_3_08 2-14-59 AM
2324097E,2324097E,ON,3_3_08 2-14-59 AM
2283671E,2283671E,CYCLING,3_3_08 1-22-37 AM
1057993E,1057993E,NIF,3_2_08 10-07-50 PM
1567429E,1567429E,ON,3_3_08 2-14-59 AM
1000684E,1000684E,NIF,3_2_08 11-26-49 PM
645003E,645003E,ON,3_3_08 2-14-59 AM
829907E,829907E,NIF,3_2_08 10-16-47 PM
CONV500861,CONV500861,ON,3_3_08 2-14-59 AM
829909E,829909E,ON,3_3_08 2-14-59 AM
B12061Y,B12061Y,NIF,3_2_08 10-25-01 PM
4119833E,4119833E,ON,3_3_08 2-14-57 AM
4119880E,4119880E,ON,3_3_08 2-14-57 AM
4119905E,4119905E,ON,3_3_08 2-14-57 AM
4119819E,4119819E,ON,3_3_08 2-14-57 AM
4119917E,4119917E,ON,3_3_08 2-14-57 AM
4119839E,4119839E,ON,3_3_08 2-14-57 AM
4119867E,4119867E,ON,3_3_08 2-14-57 AM
