Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date
4119852E,4119852E,ON,3_3_08 2-14-57 AM
4119875E,4119875E,ON,3_3_08 2-14-58 AM
4119861E,4119861E,ON,3_3_08 2-14-58 AM
4119894E,4119894E,ON,3_3_08 2-14-58 AM
4119811E,4119811E,ON,3_3_08 2-14-58 AM
4119928E,4119928E,ON,3_3_08 2-14-58 AM
1017893E,1017893E,ON,3_3_08 2-14-58 AM
4119925E,4119925E,ON,3_3_08 2-14-58 AM
4119914E,4119914E,ON,3_3_08 2-14-58 AM
4119932E,4119932E,ON,3_3_08 2-14-58 AM
4119820E,4119820E,ON,3_3_08 2-14-58 AM
4119919E,4119919E,ON,3_3_08 2-14-58 AM
4119866E,4119866E,ON,3_3_08 2-14-58 AM
4119924E,4119924E,ON,3_3_08 2-14-58 AM
4119939E,4119939E,ON,3_3_08 2-14-58 AM
4119830E,4119830E,ON,3_3_08 2-14-58 AM
4119891E,4119891E,ON,3_3_08 2-14-58 AM
4119937E,4119937E,ON,3_3_08 2-14-58 AM
4119812E,4119812E,ON,3_3_08 2-14-58 AM
4119847E,4119847E,ON,3_3_08 2-14-58 AM
4119913E,4119913E,ON,3_3_08 2-14-58 AM
4119850E,4119850E,ON,3_3_08 2-14-58 AM
4119843E,4119843E,ON,3_3_08 2-14-58 AM
4119821E,4119821E,ON,3_3_08 2-14-58 AM
4119923E,4119923E,ON,3_3_08 2-14-58 AM
4119851E,4119851E,ON,3_3_08 2-14-58 AM
4119929E,4119929E,ON,3_3_08 2-14-58 AM
4119864E,4119864E,ON,3_3_08 2-14-58 AM
4119920E,4119920E,ON,3_3_08 2-14-58 AM
4119893E,4119893E,ON,3_3_08 2-14-58 AM
4119882E,4119882E,ON,3_3_08 2-14-58 AM
4119813E,4119813E,ON,3_3_08 2-14-58 AM
4119848E,4119848E,CYCLING,3_2_08 11-51-45 PM
4119938E,4119938E,ON,3_3_08 2-14-58 AM
4119823E,4119823E,ON,3_3_08 2-14-58 AM
4119855E,4119855E,ON,3_3_08 2-14-58 AM
4119841E,4119841E,ON,3_3_08 2-14-58 AM
4119822E,4119822E,ON,3_3_08 2-14-58 AM
4119895E,4119895E,ON,3_3_08 2-14-58 AM
4119859E,4119859E,ON,3_3_08 2-14-58 AM
4119926E,4119926E,ON,3_3_08 2-14-58 AM
4119884E,4119884E,ON,3_3_08 2-14-58 AM
4119810E,4119810E,ON,3_3_08 2-14-58 AM
4119870E,4119870E,ON,3_3_08 2-14-58 AM
4119849E,4119849E,ON,3_3_08 2-14-58 AM
4119873E,4119873E,ON,3_3_08 2-14-58 AM
4119916E,4119916E,ON,3_3_08 2-14-58 AM
4119835E,4119835E,ON,3_3_08 2-14-58 AM
4119814E,4119814E,ON,3_3_08 2-14-58 AM
4119942E,4119942E,ON,3_3_08 2-14-58 AM
4119840E,4119840E,ON,3_3_08 2-14-58 AM
4119824E,4119824E,ON,3_3_08 2-14-58 AM
4119943E,4119943E,ON,3_3_08 2-14-58 AM
4119941E,4119941E,ON,3_3_08 2-14-58 AM
4119858E,4119858E,ON,3_3_08 2-14-58 AM
4119883E,4119883E,ON,3_3_08 2-14-58 AM
4119869E,4119869E,ON,3_3_08 2-14-58 AM
1017903E,1017903E,ON,3_3_08 2-14-58 AM
4119845E,4119845E,ON,3_3_08 2-14-58 AM
4119899E,4119899E,ON,3_3_08 2-14-58 AM
4119856E,4119856E,ON,3_3_08 2-14-58 AM
4119912E,4119912E,ON,3_3_08 2-14-58 AM
4119815E,4119815E,ON,3_3_08 2-14-58 AM
4119825E,4119825E,ON,3_3_08 2-14-58 AM
4119801E,4119801E,ON,3_3_08 2-14-58 AM
4119944E,4119944E,ON,3_3_08 2-14-58 AM
4119857E,4119857E,ON,3_3_08 2-14-58 AM
4119940E,4119940E,ON,3_3_08 2-14-58 AM
4119885E,4119885E,ON,3_3_08 2-14-58 AM
4119888E,4119888E,ON,3_3_08 2-14-58 AM
4119879E,4119879E,ON,3_3_08 2-14-58 AM
4119860E,4119860E,ON,3_3_08 2-14-58 AM
4119862E,4119862E,ON,3_3_08 2-14-58 AM
1017890E,1017890E,ON,3_3_08 2-14-58 AM
4119844E,4119844E,ON,3_3_08 2-14-58 AM
4119889E,4119889E,ON,3_3_08 2-14-58 AM
4119897E,4119897E,ON,3_3_08 2-14-58 AM
4119922E,4119922E,ON,3_3_08 2-14-58 AM
4119816E,4119816E,ON,3_3_08 2-14-58 AM
4119911E,4119911E,ON,3_3_08 2-14-58 AM
4119886E,4119886E,ON,3_3_08 2-14-58 AM
4119838E,4119838E,ON,3_3_08 2-14-58 AM
4119831E,4119831E,ON,3_3_08 2-14-58 AM
4119826E,4119826E,ON,3_3_08 2-14-58 AM
4119896E,4119896E,ON,3_3_08 2-14-58 AM
4119898E,4119898E,ON,3_3_08 2-14-58 AM
4119871E,4119871E,ON,3_3_08 2-14-58 AM
4119878E,4119878E,ON,3_3_08 2-14-58 AM
4119934E,4119934E,ON,3_3_08 2-14-58 AM
4119863E,4119863E,ON,3_3_08 2-14-58 AM
4119918E,4119918E,ON,3_3_08 2-14-58 AM
4119876E,4119876E,ON,3_3_08 2-14-58 AM
4119846E,4119846E,ON,3_3_08 2-14-58 AM
4119808E,4119808E,ON,3_3_08 2-14-58 AM
1017914E,1017914E,ON,3_3_08 2-14-58 AM
4119946E,4119946E,ON,3_3_08 2-14-58 AM
4119890E,4119890E,ON,3_3_08 2-14-58 AM
4119817E,4119817E,ON,3_3_08 2-14-58 AM
4119809E,4119809E,ON,3_3_08 2-14-58 AM
4119853E,4119853E,ON,3_3_08 2-14-58 AM
4119837E,4119837E,ON,3_3_08 2-14-58 AM
4119881E,4119881E,ON,3_3_08 2-14-58 AM
4119854E,4119854E,ON,3_3_08 2-14-58 AM
4119804E,4119804E,ON,3_3_08 2-14-58 AM
4119910E,4119910E,ON,3_3_08 2-14-58 AM
4119827E,4119827E,ON,3_3_08 2-14-58 AM
4119887E,4119887E,ON,3_3_08 2-14-58 AM
4119877E,4119877E,ON,3_3_08 2-14-58 AM
4119874E,4119874E,ON,3_3_08 2-14-58 AM
4119921E,4119921E,ON,3_3_08 2-14-58 AM
4119832E,4119832E,ON,3_3_08 2-14-58 AM
4119915E,4119915E,ON,3_3_08 2-14-58 AM
4119806E,4119806E,ON,3_3_08 2-14-58 AM
4119892E,4119892E,ON,3_3_08 2-14-58 AM
4119907E,4119907E,ON,3_3_08 2-14-58 AM
4119818E,4119818E,ON,3_3_08 2-14-58 AM
4189041E,4189041E,ON,3_3_08 2-14-58 AM
4189041E,4189041E,ON,3_3_08 2-14-58 AM
4119834E,4119834E,ON,3_3_08 2-14-58 AM
4119829E,4119829E,ON,3_3_08 2-14-58 AM
4119836E,4119836E,ON,3_3_08 2-14-58 AM
4119868E,4119868E,ON,3_3_08 2-14-58 AM
4119927E,4119927E,ON,3_3_08 2-14-58 AM
4119805E,4119805E,ON,3_3_08 2-14-58 AM
4119803E,4119803E,ON,3_3_08 2-14-58 AM
4119828E,4119828E,ON,3_3_08 2-14-58 AM
4188888E,4188888E,ON,3_3_08 2-14-58 AM
4119872E,4119872E,ON,3_3_08 2-14-58 AM
4119865E,4119865E,ON,3_3_08 2-14-58 AM
CONV440784,CONV440784,NIF,3_3_08 1-06-11 AM
645005E,645005E,ON,3_3_08 2-14-58 AM
645005E,645005E,ON,3_3_08 2-14-58 AM
4119930E,4119930E,ON,3_3_08 2-14-58 AM
981106E,981106E,ON,3_3_08 2-14-58 AM
CONV500862,CONV500862,ON,3_3_08 2-14-58 AM
2318501E,2318501E,ON,3_3_08 2-14-58 AM
1710201E,1710201E,ON,3_3_08 2-14-58 AM
645041E,645041E,ON,3_3_08 2-14-58 AM
1186059E,1186059E,NIF,3_3_08 12-13-06 AM
981130E,981130E,ON,3_3_08 2-14-58 AM
645084E,645084E,CYCLING,3_3_08 12-10-19 AM
962619E,962619E,ON,3_3_08 2-14-58 AM
829910E,829910E,ON,3_3_08 2-14-58 AM
4546772E,4546772E,NIF,3_2_08 10-07-59 PM
630090E,630090E,ON,3_3_08 2-14-58 AM
CONV506280,CONV506280,NIF,3_3_08 1-07-07 AM
4367548E,4367548E,ON,3_3_08 2-14-58 AM
CONV506281,CONV506281,ON,3_3_08 2-14-58 AM
4119842E,4119842E,ON,3_3_08 2-14-58 AM
CONV546403,CONV546403,ON,3_3_08 2-14-58 AM
924824E,924824E,ON,3_3_08 2-14-58 AM
981111E,981111E,ON,3_3_08 2-14-58 AM
4255356E,4255356E,NIF,3_2_08 11-44-30 PM
CONV545441,CONV545441,ON,3_3_08 2-14-58 AM
1698819E,1698819E,ON,3_3_08 2-14-59 AM
4119904E,4119904E,ON,3_3_08 2-14-59 AM
4119807E,4119807E,ON,3_3_08 2-14-59 AM
922537E,922537E,ON,3_3_08 2-14-59 AM
CONV504759,CONV504759,ON,3_3_08 2-14-59 AM
2382015E,2382015E,ON,3_3_08 2-14-59 AM
2382015E,2382015E,ON,3_3_08 2-14-59 AM
867537E,867537E,ON,3_3_08 2-14-59 AM
2244233E,2244233E,ON,3_3_08 2-14-59 AM
980580E,980580E,ON,3_3_08 2-14-59 AM
829914E,829914E,ON,3_3_08 2-14-59 AM
867677E,867677E,ON,3_3_08 2-14-59 AM
1273648E,1273648E,ON,3_3_08 2-14-59 AM
961810E,961810E,ON,3_3_08 2-14-59 AM
CONV500878,CONV500878,NIF,3_2_08 10-07-05 PM
CONV496842,CONV496842,NIF,3_2_08 10-03-58 PM
1456082E,1456082E,ON,3_3_08 2-14-59 AM
829911E,829911E,ON,3_3_08 2-14-59 AM
962540E,962540E,ON,3_3_08 2-14-59 AM
962540E,962540E,ON,3_3_08 2-14-59 AM
1456083E,1456083E,ON,3_3_08 2-14-59 AM
CONV500865,CONV500865,ON,3_3_08 2-14-59 AM
991274E,991274E,NIF,3_2_08 11-36-34 PM
645073E,645073E,ON,3_3_08 2-14-59 AM
CONV502323,CONV502323,ON,3_3_08 2-14-59 AM
1698835E,1698835E,NIF,3_3_08 1-51-34 AM
1025137E,1025137E,ON,3_3_08 2-14-59 AM
981128E,981128E,ON,3_3_08 2-14-59 AM
CONV500870,CONV500870,NIF,3_2_08 10-13-34 PM
829915E,829915E,ON,3_3_08 2-14-59 AM
1568867E,1568867E,ON,3_3_08 2-14-59 AM
980567E,980567E,ON,3_3_08 2-14-59 AM
630087E,630087E,NIF,3_3_08 1-39-10 AM
4119936E,4119936E,ON,3_3_08 2-14-59 AM
961809E,961809E,ON,3_3_08 2-14-59 AM
930700E,930700E,NIF,3_2_08 10-32-17 PM
4559563E,4559563E,NIF,3_3_08 1-02-28 AM
829912E,829912E,ON,3_3_08 2-14-59 AM
4119902E,4119902E,ON,3_3_08 2-14-59 AM
645002E,645002E,ON,3_3_08 2-14-59 AM
4119908E,4119908E,ON,3_3_08 2-14-59 AM
1567428E,1567428E,ON,3_3_08 2-14-59 AM
4119909E,4119909E,ON,3_3_08 2-14-59 AM
962583E,962583E,ON,3_3_08 2-14-59 AM
4717342E,4717342E,ON,3_3_08 2-14-59 AM
1698822E,1698822E,NIF,3_3_08 1-46-55 AM
1025136E,1025136E,ON,3_3_08 2-14-59 AM
GT93222,GT93222,NIF,3_2_08 9-46-11 PM
1451552E,1451552E,ON,3_3_08 2-14-59 AM
CONV500860,CONV500860,ON,3_3_08 2-14-59 AM
962537E,962537E,ON,3_3_08 2-14-59 AM
1024684E,1024684E,ON,3_3_08 2-14-59 AM
981131E,981131E,ON,3_3_08 2-14-59 AM
1567451E,1567451E,ON,3_3_08 2-14-59 AM
4119931E,4119931E,ON,3_3_08 2-14-59 AM
962576E,962576E,ON,3_3_08 2-14-59 AM
CONV496634,CONV496634,ON,3_3_08 2-14-59 AM
CONV495342,2006482E,CYCLING,3_2_08 9-55-01 PM
1066200E,1066200E,ON,3_3_08 2-14-59 AM
662960E,662960E,ON,3_3_08 2-14-59 AM
CONV500866,CONV500866,NIF,3_2_08 10-13-26 PM
1294702E,1294702E,ON,3_3_08 2-14-59 AM
948750E,948750E,ON,3_3_08 2-14-59 AM
CONV506282,CONV506282,ON,3_3_08 2-14-59 AM
1698817E,1698817E,ON,3_3_08 1-48-41 AM
4367549E,4367549E,ON,3_3_08 2-14-59 AM
1018008E,1018008E,ON,3_3_08 2-14-59 AM
867540E,867540E,ON,3_3_08 2-14-59 AM
CONV496445,CONV496445,ON,3_3_08 2-14-59 AM
948751E,948751E,ON,3_3_08 2-14-59 AM
CONV500881,CONV500881,NIF,3_2_08 10-05-43 PM
962538E,962538E,ON,3_3_08 2-14-59 AM
1024685E,1024685E,ON,3_3_08 2-14-59 AM
930739E,930739E,ON,3_2_08 11-22-41 PM
4119933E,4119933E,ON,3_3_08 2-14-59 AM
1024683E,1024683E,ON,3_3_08 2-14-59 AM
1160219E,1160219E,ON,3_3_08 2-14-59 AM
1185835E,1185835E,ON,3_3_08 2-14-59 AM
CONV545606,CONV545606,ON,3_3_08 2-14-59 AM
962578E,962578E,OFF,3_2_08 10-20-23 PM
630084E,630084E,ON,3_3_08 1-37-46 AM
930738E,930738E,NIF,3_2_08 10-34-57 PM
4379126E,4379126E,ON,3_3_08 2-14-59 AM
924825E,924825E,ON,3_3_08 2-14-59 AM
4367550E,4367550E,NIF,3_3_08 1-40-56 AM
1294701E,1294701E,ON,3_3_08 2-14-59 AM
829916E,829916E,ON,3_3_08 2-14-59 AM
1018017E,1018017E,ON,3_3_08 2-14-59 AM
981136E,981136E,ON,3_3_08 2-14-59 AM
962586E,962586E,ON,3_3_08 2-14-59 AM
981132E,981132E,ON,3_3_08 2-14-59 AM
645048E,645048E,ON,3_3_08 2-14-59 AM
4188923E,4188923E,ON,3_3_08 2-14-59 AM
962542E,962542E,ON,3_3_08 2-14-59 AM
1024686E,1024686E,ON,3_3_08 2-14-59 AM
CONV545611,CONV545611,ON,3_3_08 2-14-59 AM
607659E,607659E,ON,3_3_08 2-14-59 AM
930740E,930740E,ON,3_3_08 2-14-59 AM
1057994E,1057994E,NIF,3_2_08 10-07-41 PM
907030E,907030E,ON,3_3_08 2-14-59 AM
962580E,962580E,NIF,3_2_08 10-23-03 PM
980533E,980533E,ON,3_3_08 2-14-59 AM
893711E,893711E,ON,3_3_08 2-14-59 AM
4119802E,4119802E,ON,3_3_08 2-14-59 AM
962587E,962587E,ON,3_3_08 2-14-59 AM
CONV506289,CONV506289,NIF,3_2_08 11-30-37 PM
1024687E,1024687E,ON,3_3_08 2-14-59 AM
CONV440779,CONV440779,NIF,3_3_08 1-04-01 AM
1185837E,1185837E,ON,3_3_08 2-14-59 AM
930741E,930741E,ON,3_3_08 2-14-59 AM
CONV505765,CONV505765,NIF,3_3_08 12-08-21 AM
630085E,630085E,NIF,3_3_08 1-38-32 AM
1567455E,1567455E,NIF,3_2_08 9-50-11 PM
1567430E,1567430E,ON,3_3_08 2-14-59 AM
1109154E,1109154E,OFF,3_3_08 2-07-59 AM
841197E,841197E,ON,3_3_08 2-14-59 AM
841185E,841185E,ON,3_3_08 2-14-59 AM
924710E,924710E,ON,3_3_08 2-14-59 AM
1109156E,1109156E,CYCLING,3_3_08 2-08-33 AM
2382350E,2382350E,ON,3_3_08 2-14-59 AM
841164E,841164E,ON,3_3_08 2-14-59 AM
841651E,841651E,ON,3_3_08 2-14-59 AM
4527258E,4527258E,ON,3_3_08 1-57-13 AM
4433900E,4433900E,ON,3_3_08 2-14-59 AM
841170E,841170E,ON,3_3_08 2-14-59 AM
962003E,962003E,ON,3_3_08 2-14-59 AM
841196E,841196E,ON,3_3_08 2-14-59 AM
841182E,841182E,ON,3_3_08 2-14-59 AM
924711E,924711E,OFF,3_3_08 2-12-01 AM
1402443E,1402443E,ON,3_3_08 2-14-59 AM
841193E,841193E,ON,3_3_08 2-14-59 AM
962002E,962002E,ON,3_3_08 2-14-59 AM
222170E,222170E,CYCLING,3_3_08 1-11-36 AM
841158E,841158E,ON,3_3_08 2-14-59 AM
841169E,841169E,ON,3_3_08 2-14-59 AM
841192E,841192E,ON,3_3_08 2-14-59 AM
1242718E,1242718E,ON,3_3_08 2-14-59 AM
841179E,841179E,ON,3_3_08 2-14-59 AM
841188E,841188E,ON,3_3_08 2-14-59 AM
CONV508086,CONV508086,ON,3_3_08 2-14-59 AM
4601746E,4601746E,ON,3_3_08 2-14-59 AM
4433740E,4433740E,ON,3_3_08 2-14-59 AM
1488707E,1488707E,ON,3_3_08 2-14-59 AM
841159E,841159E,ON,3_3_08 2-14-59 AM
1242484E,1242484E,ON,3_3_08 2-14-59 AM
841162E,841162E,ON,3_3_08 2-14-59 AM
841191E,841191E,ON,3_3_08 2-14-59 AM
CONV508085,CONV508085,ON,3_3_08 2-14-59 AM
841166E,841166E,ON,3_3_08 2-14-59 AM
4454393E,4454393E,ON,3_3_08 1-10-12 AM
841180E,841180E,ON,3_3_08 2-14-59 AM
4513781E,4513781E,ON,3_3_08 2-14-59 AM
222172E,222172E,ON,3_3_08 2-14-59 AM
841155E,841155E,ON,3_3_08 2-14-59 AM
1621807E,1621807E,ON,3_3_08 2-14-59 AM
1334512E,1334512E,ON,3_3_08 2-14-59 AM
1242720E,1242720E,ON,3_3_08 1-57-56 AM
1621802E,1621802E,ON,3_3_08 2-14-59 AM
841165E,841165E,ON,3_3_08 2-14-59 AM
841168E,4682402E,OFF,3_3_08 1-14-43 AM
1109153E,1109153E,ON,3_3_08 2-15-00 AM
841187E,841187E,ON,3_3_08 2-15-00 AM
1334508E,1334508E,ON,3_3_08 2-15-00 AM
866156E,866156E,NIF,3_3_08 1-34-48 AM
841177E,841177E,ON,3_3_08 2-15-00 AM
841163E,841163E,ON,3_3_08 2-15-00 AM
841160E,841160E,ON,3_3_08 2-15-00 AM
1334516E,1334516E,ON,3_3_08 2-15-00 AM
222174E,222174E,ON,3_3_08 2-15-00 AM
841178E,841178E,ON,3_3_08 2-15-00 AM
841183E,841183E,ON,3_3_08 2-15-00 AM
4718548E,4718548E,ON,3_3_08 2-15-00 AM
CONV508072,CONV508072,ON,3_3_08 2-15-00 AM
841153E,841153E,ON,3_3_08 2-15-00 AM
1242721E,4454396E,OFF,3_3_08 2-05-22 AM
841189E,841189E,ON,3_3_08 2-15-00 AM
841161E,841161E,ON,3_3_08 2-15-00 AM
841195E,841195E,ON,3_3_08 2-15-00 AM
CONV508083,CONV508083,ON,3_3_08 2-15-00 AM
CONV508075,CONV508075,ON,3_3_08 2-15-00 AM
841152E,841152E,ON,3_3_08 2-15-00 AM
841181E,841181E,ON,3_3_08 2-15-00 AM
1334510E,1334510E,ON,3_3_08 2-15-00 AM
841186E,841186E,ON,3_3_08 2-15-00 AM
B12076Y,B12076Y,ON,3_3_08 2-15-00 AM
841653E,841653E,ON,3_3_08 2-15-00 AM
4454657E,4454657E,ON,3_3_08 2-15-00 AM
841157E,841157E,ON,3_3_08 2-15-00 AM
866155E,866155E,NIF,3_3_08 1-34-40 AM
1456066E,1456066E,ON,3_3_08 2-15-00 AM
841167E,841167E,ON,3_3_08 2-15-00 AM
CONV508078,CONV508078,ON,3_3_08 2-15-00 AM
1402444E,1402444E,ON,3_3_08 2-15-00 AM
CONV508079,1109147E,OFF,3_3_08 2-01-13 AM
841184E,841184E,ON,3_3_08 2-15-00 AM
907350E,907350E,ON,3_3_08 2-15-00 AM
841151E,841151E,ON,3_3_08 2-15-00 AM
841154E,841154E,ON,3_3_08 2-15-00 AM
CONV508081,CONV508081,ON,3_3_08 2-15-00 AM
841654E,841654E,ON,3_3_08 2-15-00 AM
841190E,841190E,ON,3_3_08 2-15-00 AM
CONV508082,CONV508082,ON,3_3_08 2-15-00 AM
841198E,841198E,ON,3_3_08 2-15-00 AM
1109143E,1109143E,ON,3_3_08 2-15-00 AM
841194E,841194E,ON,3_3_08 2-15-00 AM
1109160E,1109160E,OFF,3_3_08 2-09-22 AM
