Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date
2149070E,2149070E,ON,6_23_11 10-26-52 PM
2149610E,2149610E,ON,6_23_11 10-26-52 PM
2149610E,2149610E,ON,6_23_11 10-26-52 PM
2194743E,2194743E,ON,6_23_11 10-26-52 PM
2194748E,2194748E,ON,6_23_11 10-26-52 PM
2149264E,2149264E,ON,6_23_11 10-26-52 PM
2149267E,2149267E,ON,6_23_11 10-26-52 PM
2148965E,2148965E,ON,6_23_11 10-26-52 PM
2119288E,2119288E,ON,6_23_11 10-26-52 PM
4288061E,4288061E,ON,6_23_11 10-26-52 PM
4288061E,4288061E,ON,6_23_11 10-26-52 PM
2120117E,2120117E,ON,6_23_11 10-26-52 PM
4288066E,4288066E,ON,6_23_11 10-26-52 PM
4288066E,4288066E,ON,6_23_11 10-26-52 PM
2251564E,2251564E,ON,6_23_11 10-26-52 PM
4400692E,4400692E,ON,6_23_11 10-26-52 PM
4400692E,4400692E,ON,6_23_11 10-26-52 PM
2119692E,2119692E,ON,6_23_11 10-26-52 PM
2149202E,2149202E,ON,6_23_11 10-26-52 PM
2149314E,2149314E,ON,6_23_11 10-26-52 PM
4170205E,4170205E,ON,6_23_11 10-26-52 PM
2194741E,2194741E,ON,6_23_11 10-26-52 PM
4483250E,4483250E,OFF,6_23_11 3-47-31 AM
2149262E,2149262E,ON,6_23_11 10-26-52 PM
4486638E,4486638E,ON,6_23_11 10-26-52 PM
2120101E,2120101E,ON,6_23_11 10-26-52 PM
CONV485275,2149204E,CYCLING,6_23_11 5-29-30 AM
2149203E,2149203E,ON,6_23_11 10-26-52 PM
2149220E,2149220E,ON,6_23_11 10-26-52 PM
2149209E,2149209E,ON,6_23_11 10-26-52 PM
2195831E,2195831E,ON,6_23_11 10-26-52 PM
2119921E,2119921E,ON,6_23_11 10-26-52 PM
4482954E,4482954E,ON,6_23_11 10-26-52 PM
2194740E,2194740E,ON,6_23_11 10-26-52 PM
2148319E,2148319E,ON,6_23_11 10-26-52 PM
2149071E,2149071E,ON,6_23_11 10-26-52 PM
2120038E,2120038E,ON,6_23_11 10-26-52 PM
4468602E,4468602E,ON,6_23_11 10-26-52 PM
4486640E,4486640E,ON,6_23_11 10-26-52 PM
2120105E,2120105E,ON,6_23_11 10-26-52 PM
2148423E,2148423E,ON,6_23_11 10-26-52 PM
4437792E,4437792E,ON,6_23_11 10-26-52 PM
4609112E,4609112E,ON,6_23_11 10-26-52 PM
4548634E,4548634E,ON,6_23_11 10-26-52 PM
2120050E,2120050E,ON,6_23_11 10-26-52 PM
2149307E,2149307E,ON,6_23_11 10-26-52 PM
2149207E,2149207E,ON,6_23_11 10-26-52 PM
2149204E,2149204E,ON,6_23_11 10-26-53 PM
2149605E,2149605E,ON,6_23_11 10-26-53 PM
2149601E,2149601E,ON,6_23_11 10-26-53 PM
2318459E,2318459E,ON,6_23_11 10-26-53 PM
2318459E,2318459E,ON,6_23_11 10-26-53 PM
1945452E,1945452E,ON,6_23_11 10-26-53 PM
2120225E,2120225E,ON,6_23_11 10-26-53 PM
2257108E,2257108E,ON,6_23_11 10-26-53 PM
2258911E,2258911E,ON,6_23_11 10-26-53 PM
1911640E,1911640E,ON,6_23_11 10-26-53 PM
1911626E,1911626E,ON,6_23_11 10-26-53 PM
2149263E,2149263E,ON,6_23_11 10-26-53 PM
2119912E,2119912E,ON,6_23_11 10-26-53 PM
2120113E,2120113E,ON,6_23_11 10-26-53 PM
2148967E,2148967E,ON,6_23_11 10-26-53 PM
2148426E,2148426E,ON,6_23_11 10-26-53 PM
4008386E,4008386E,ON,6_23_11 10-26-53 PM
2148425E,2148425E,ON,6_23_11 10-26-53 PM
2258142E,2258142E,ON,6_23_11 10-26-53 PM
4580138E,4580138E,ON,6_23_11 10-26-53 PM
4169980E,4169980E,ON,6_23_11 10-26-53 PM
2149206E,2149206E,ON,6_23_11 10-26-53 PM
4170247E,4170247E,ON,6_23_11 10-26-53 PM
2149603E,2149603E,ON,6_23_11 10-26-53 PM
4170244E,4170244E,ON,6_23_11 10-26-53 PM
2149612E,2149612E,CYCLING,6_23_11 5-21-49 AM
2149612E,2149612E,ON,6_23_11 5-21-49 AM
4288056E,4288056E,ON,6_23_11 10-26-53 PM
4288056E,4288056E,ON,6_23_11 10-26-53 PM
4633454E,4633454E,ON,6_23_11 10-26-53 PM
2196227E,2196227E,ON,6_23_11 10-26-53 PM
2148444E,2148444E,ON,6_23_11 10-26-53 PM
4548631E,4548631E,ON,6_23_11 10-26-53 PM
4580140E,4580140E,ON,6_23_11 10-26-53 PM
2149127E,2149127E,ON,6_23_11 10-26-53 PM
4548626E,4548626E,ON,6_23_11 10-26-53 PM
4474767E,4474767E,ON,6_23_11 10-26-53 PM
2149306E,2149306E,ON,6_23_11 10-26-53 PM
2119032E,2119032E,ON,6_23_11 10-26-53 PM
2119116E,2119116E,ON,6_23_11 10-26-53 PM
2119118E,2119118E,ON,6_23_11 10-26-53 PM
2149213E,2149213E,ON,6_23_11 10-26-53 PM
2149212E,2149212E,ON,6_23_11 10-26-53 PM
4170246E,4170246E,ON,6_23_11 10-26-53 PM
2119919E,2119919E,ON,6_23_11 10-26-53 PM
2149218E,2149218E,ON,6_23_11 10-26-53 PM
2149072E,2149072E,ON,6_23_11 10-26-53 PM
2149293E,2149293E,ON,6_23_11 10-26-53 PM
2195827E,2195827E,ON,6_23_11 10-26-53 PM
2120045E,2120045E,ON,6_23_11 10-26-53 PM
4486641E,4486641E,ON,6_23_11 10-26-53 PM
2120104E,2120104E,ON,6_23_11 10-26-53 PM
2148424E,2148424E,ON,6_23_11 10-26-53 PM
4580143E,4580143E,ON,6_23_11 10-26-53 PM
4392774E,4392774E,CYCLING,6_23_11 3-21-44 AM
4392774E,4392774E,OFF,6_23_11 3-21-44 AM
2120047E,2120047E,OFF,6_23_11 4-22-38 AM
2149208E,2149208E,ON,6_23_11 10-26-53 PM
2149205E,2149205E,ON,6_23_11 10-26-53 PM
2119918E,2119918E,ON,6_23_11 10-26-53 PM
2148447E,2148447E,ON,6_23_11 10-26-53 PM
2119916E,2119916E,ON,6_23_11 10-26-53 PM
2148321E,2148321E,ON,6_23_11 10-26-53 PM
2196495E,2196495E,ON,6_23_11 10-26-53 PM
2196497E,2196497E,ON,6_23_11 10-26-53 PM
2149271E,2149271E,ON,6_23_11 10-26-53 PM
2119905E,2119905E,ON,6_23_11 10-26-53 PM
2149269E,2149269E,ON,6_23_11 10-26-53 PM
2119915E,2119915E,ON,6_23_11 10-26-53 PM
2119845E,2119845E,ON,6_23_11 10-26-53 PM
2119845E,2119845E,ON,6_23_11 10-26-53 PM
2119843E,2119843E,ON,6_23_11 10-26-53 PM
2119843E,2119843E,ON,6_23_11 10-26-53 PM
2196496E,2196496E,CYCLING,6_23_11 5-26-42 AM
CONV485246,CONV485246,ON,6_23_11 10-26-53 PM
2149222E,2149222E,ON,6_23_11 10-26-53 PM
2149215E,2149215E,ON,6_23_11 10-26-54 PM
4170248E,4170248E,ON,6_23_11 10-26-54 PM
2149201E,2149201E,ON,6_23_11 10-26-54 PM
2196499E,2196499E,ON,6_23_11 10-26-54 PM
4468647E,4468647E,ON,6_23_11 10-26-54 PM
4288055E,4288055E,ON,6_23_11 10-26-54 PM
4357110E,4357110E,ON,6_23_11 10-26-54 PM
2119906E,2119906E,ON,6_23_11 10-26-54 PM
2120111E,2120111E,ON,6_23_11 10-26-54 PM
2148832E,2148832E,ON,6_23_11 10-26-54 PM
2149129E,2149129E,ON,6_23_11 10-26-54 PM
4170204E,4170204E,ON,6_23_11 10-26-54 PM
2119922E,2119922E,ON,6_23_11 10-26-54 PM
2149608E,2149608E,OFF,6_23_11 5-19-05 AM
2149608E,2149608E,CYCLING,6_23_11 5-19-05 AM
2149098E,2149098E,ON,6_23_11 10-26-54 PM
4633892E,4633892E,ON,6_23_11 10-26-54 PM
4633040E,4633040E,ON,6_23_11 10-26-54 PM
4548632E,4548632E,ON,6_23_11 10-26-54 PM
4548627E,4548627E,ON,6_23_11 10-26-54 PM
4580141E,4580141E,ON,6_23_11 10-26-54 PM
4474770E,4474770E,ON,6_23_11 10-26-54 PM
2149128E,2149128E,ON,6_23_11 10-26-54 PM
2120049E,2120049E,ON,6_23_11 10-26-54 PM
4609114E,4609114E,ON,6_23_11 10-26-54 PM
4633901E,4633901E,ON,6_23_11 10-26-54 PM
2119115E,2119115E,ON,6_23_11 10-26-54 PM
2148449E,2148449E,ON,6_23_11 10-26-54 PM
2148440E,2148440E,ON,6_23_11 10-26-54 PM
2148323E,2148323E,ON,6_23_11 10-26-54 PM
2119698E,2119698E,ON,6_23_11 10-26-54 PM
4288069E,4288069E,ON,6_23_11 10-26-54 PM
4288069E,4288069E,ON,6_23_11 10-26-54 PM
2148834E,2148834E,ON,6_23_11 10-26-54 PM
2119234E,2119234E,ON,6_23_11 10-26-54 PM
4400690E,4400690E,ON,6_23_11 10-26-54 PM
4400690E,4400690E,ON,6_23_11 10-26-54 PM
2251558E,2251558E,ON,6_23_11 10-26-54 PM
4400680E,4400680E,ON,6_23_11 10-26-54 PM
2119923E,2119923E,ON,6_23_11 10-26-54 PM
2119917E,2119917E,CYCLING,6_23_11 5-23-52 AM
2195833E,2195833E,ON,6_23_11 10-26-54 PM
2195832E,2195832E,ON,6_23_11 10-26-54 PM
2149295E,2149295E,ON,6_23_11 10-26-54 PM
2120048E,2120048E,ON,6_23_11 10-26-54 PM
2194742E,2194742E,ON,6_23_11 10-26-54 PM
4483248E,4483248E,ON,6_23_11 10-26-54 PM
4618982E,4618982E,ON,6_23_11 10-26-54 PM
4580144E,4580144E,ON,6_23_11 10-26-54 PM
4609111E,4609111E,ON,6_23_11 10-26-54 PM
4436322E,4436322E,ON,6_23_11 10-26-54 PM
4548633E,4548633E,ON,6_23_11 10-26-54 PM
4548629E,4548629E,ON,6_23_11 10-26-54 PM
4609115E,4609115E,ON,6_23_11 10-26-54 PM
4474772E,4474772E,ON,6_23_11 10-26-54 PM
2149308E,2149308E,ON,6_23_11 10-26-54 PM
2120046E,2120046E,ON,6_23_11 10-26-54 PM
2149607E,2149607E,ON,6_23_11 10-26-54 PM
2149607E,2149607E,ON,6_23_11 10-26-54 PM
4609118E,4609118E,ON,6_23_11 10-26-54 PM
4474774E,4474774E,OFF,6_23_11 3-40-10 AM
2120037E,2120037E,ON,6_23_11 10-26-54 PM
2119119E,2119119E,ON,6_23_11 10-26-54 PM
2119117E,2119117E,ON,6_23_11 10-26-54 PM
2148446E,2148446E,ON,6_23_11 10-26-54 PM
4170245E,4170245E,ON,6_23_11 10-26-54 PM
4548630E,4548630E,ON,6_23_11 10-26-54 PM
4580139E,4580139E,ON,6_23_11 10-26-54 PM
4153512E,4153512E,ON,6_23_11 10-26-54 PM
2119120E,2119120E,ON,6_23_11 10-26-54 PM
2119113E,2119113E,ON,6_23_11 10-26-54 PM
2120040E,2120040E,ON,6_23_11 10-26-54 PM
2148324E,2148324E,ON,6_23_11 10-26-54 PM
2120039E,2120039E,ON,6_23_11 10-26-55 PM
2149294E,2149294E,ON,6_23_11 10-26-55 PM
2196494E,2196494E,ON,6_23_11 10-26-55 PM
2194744E,2194744E,CYCLING,6_23_11 4-57-18 AM
4486642E,4486642E,ON,6_23_11 10-26-55 PM
2119697E,2119697E,ON,6_23_11 10-26-55 PM
2149279E,2149279E,ON,6_23_11 10-26-55 PM
2333083E,2333083E,ON,6_23_11 10-26-55 PM
4618915E,4618915E,ON,6_23_11 10-26-55 PM
4609116E,4609116E,ON,6_23_11 10-26-55 PM
4474773E,4474773E,ON,6_23_11 10-26-55 PM
2196228E,2196228E,ON,6_23_11 10-26-55 PM
2196226E,2196226E,ON,6_23_11 10-26-55 PM
2148448E,2148448E,ON,6_23_11 10-26-55 PM
2149317E,2149317E,ON,6_23_11 10-26-55 PM
4618538E,4618538E,ON,6_23_11 10-26-55 PM
4609117E,4609117E,ON,6_23_11 10-26-55 PM
4580101E,4580101E,ON,6_23_11 10-26-55 PM
2120044E,2120044E,ON,6_23_11 10-26-55 PM
2119112E,2119112E,ON,6_23_11 10-26-55 PM
2196229E,2196229E,ON,6_23_11 10-26-55 PM
2149214E,2149214E,ON,6_23_11 10-26-55 PM
4400695E,4400695E,ON,6_23_11 10-26-55 PM
4400695E,4400695E,ON,6_23_11 10-26-55 PM
2333031E,2333031E,ON,6_23_11 10-26-55 PM
2148467E,2148467E,OFF,6_23_11 9-15-43 PM
2148467E,2148467E,ON,6_23_11 9-15-43 PM
2119393E,2119393E,ON,6_23_11 10-26-55 PM
2149074E,2149074E,ON,6_23_11 10-26-55 PM
4474168E,4474168E,ON,6_23_11 10-26-55 PM
4474161E,4474161E,ON,6_23_11 10-26-55 PM
2148445E,2148445E,ON,6_23_11 10-26-55 PM
4468627E,4468627E,ON,6_23_11 10-26-55 PM
1911628E,1911628E,ON,6_23_11 10-26-55 PM
2258009E,2258009E,ON,6_23_11 10-26-55 PM
2258009E,2258009E,ON,6_23_11 10-26-55 PM
2148285E,2148285E,ON,6_23_11 10-26-55 PM
2119176E,2119176E,ON,6_23_11 10-26-55 PM
4474166E,4474166E,ON,6_23_11 10-26-55 PM
4482343E,4482343E,ON,6_23_11 10-26-55 PM
4483243E,4483243E,CYCLING,6_23_11 3-52-26 AM
2318382E,2318382E,ON,6_23_11 10-26-55 PM
2258666E,2258666E,ON,6_23_11 10-26-55 PM
2149302E,2149302E,ON,6_23_11 10-26-55 PM
2148460E,2148460E,ON,6_23_11 10-26-55 PM
4471191E,4471191E,ON,6_23_11 10-26-55 PM
4468625E,4468625E,ON,6_23_11 10-26-55 PM
2148453E,2148453E,ON,6_23_11 10-26-55 PM
2318369E,2318369E,ON,6_23_11 10-26-55 PM
2258386E,2258386E,ON,6_23_11 10-26-55 PM
2258049E,2258049E,ON,6_23_11 10-26-55 PM
2258046E,2258046E,ON,6_23_11 10-26-55 PM
2196065E,2196065E,ON,6_23_11 10-26-55 PM
2258295E,2258295E,ON,6_23_11 10-26-55 PM
1911632E,1911632E,ON,6_23_11 10-26-55 PM
2149562E,2149562E,ON,6_23_11 10-26-55 PM
2258283E,2258283E,ON,6_23_11 10-26-55 PM
2148963E,2148963E,ON,6_23_11 10-26-55 PM
2119051E,2119051E,ON,6_23_11 10-26-55 PM
2119109E,2119109E,ON,6_23_11 10-26-55 PM
2149301E,2149301E,ON,6_23_11 10-26-55 PM
4471189E,4471189E,ON,6_23_11 10-26-55 PM
4468603E,4468603E,ON,6_23_11 10-26-55 PM
2148283E,2148283E,ON,6_23_11 10-26-55 PM
2119394E,2119394E,ON,6_23_11 10-26-55 PM
4468624E,4468624E,ON,6_23_11 10-26-55 PM
2148458E,2148458E,ON,6_23_11 10-26-55 PM
2119900E,2119900E,OFF,6_23_11 4-30-00 AM
2119900E,2119900E,CYCLING,6_23_11 4-30-00 AM
2148956E,2148956E,ON,6_23_11 10-26-55 PM
2148956E,2148956E,ON,6_23_11 10-26-55 PM
2149126E,2149126E,ON,6_23_11 10-26-55 PM
4482957E,4482957E,ON,6_23_11 10-26-55 PM
4474162E,4474162E,ON,6_23_11 10-26-55 PM
4471188E,4471188E,ON,6_23_11 10-26-56 PM
4471193E,4471193E,ON,6_23_11 10-26-56 PM
2318388E,2318388E,ON,6_23_11 10-26-56 PM
2258388E,2258388E,ON,6_23_11 10-26-56 PM
2318385E,2318385E,ON,6_23_11 10-26-56 PM
2333119E,2333119E,ON,6_23_11 10-26-56 PM
2258667E,2258667E,OFF,6_23_11 3-05-51 AM
2333114E,2333114E,ON,6_23_11 10-26-56 PM
1911634E,1911634E,CYCLING,6_23_11 10-22-44 PM
2195836E,2195836E,ON,6_23_11 10-26-56 PM
2318377E,2318377E,ON,6_23_11 10-26-56 PM
2318374E,2318374E,ON,6_23_11 10-26-56 PM
2318366E,2318366E,ON,6_23_11 10-26-56 PM
2257779E,2257779E,ON,6_23_11 10-26-56 PM
1911636E,1911636E,ON,6_23_11 10-26-56 PM
2258292E,2258292E,ON,6_23_11 10-26-56 PM
2258378E,2258378E,ON,6_23_11 10-26-56 PM
2258281E,2258281E,ON,6_23_11 10-26-56 PM
2258685E,2258685E,ON,6_23_11 10-26-56 PM
2318768E,2318768E,ON,6_23_11 10-26-56 PM
2258355E,2258355E,ON,6_23_11 10-26-56 PM
2149560E,2149560E,ON,6_23_11 10-26-56 PM
2333416E,2333416E,ON,6_23_11 10-26-56 PM
2149136E,2149136E,ON,6_23_11 10-26-56 PM
2149136E,2149136E,ON,6_23_11 10-26-56 PM
4352802E,4352802E,CYCLING,6_23_11 2-50-16 AM
4000814E,4000814E,ON,6_23_11 10-26-56 PM
2258681E,2258681E,ON,6_23_11 10-26-56 PM
CONV498724,CONV498724,ON,6_23_11 10-26-56 PM
2149569E,2149569E,ON,6_23_11 10-26-56 PM
2258275E,2258275E,ON,6_23_11 10-26-56 PM
2258361E,2258361E,ON,6_23_11 10-26-56 PM
2318478E,2318478E,OFF,6_23_11 2-39-11 AM
2258087E,2258087E,ON,6_23_11 10-26-56 PM
2318761E,2318761E,ON,6_23_11 10-26-56 PM
2258084E,2258084E,OFF,6_23_11 9-41-46 PM
2258089E,2258089E,ON,6_23_11 10-26-56 PM
2318306E,2318306E,ON,6_23_11 10-26-56 PM
2258692E,2258692E,ON,6_23_11 10-26-56 PM
2318485E,2318485E,ON,6_23_11 10-26-56 PM
2318482E,2318482E,ON,6_23_11 10-26-56 PM
2258288E,2258288E,ON,6_23_11 10-26-56 PM
2258276E,2258276E,OFF,6_23_11 2-58-35 AM
2258385E,2258385E,ON,6_23_11 10-26-56 PM
2318383E,2297974E,OFF,6_23_11 2-46-49 AM
2257775E,2257775E,ON,6_23_11 10-26-56 PM
2257411E,2257411E,OFF,6_23_11 2-27-24 AM
2318703E,2318703E,ON,6_23_11 10-26-56 PM
2195829E,2195829E,ON,6_23_11 10-26-56 PM
2119110E,2119110E,ON,6_23_11 10-26-56 PM
4482958E,4482958E,ON,6_23_11 10-26-56 PM
2258353E,2258353E,ON,6_23_11 10-26-56 PM
2333115E,2333115E,ON,6_23_11 10-26-56 PM
2119910E,2119910E,ON,6_23_11 10-26-56 PM
2149299E,2149299E,ON,6_23_11 10-26-56 PM
2119392E,2119392E,ON,6_23_11 10-26-56 PM
2149309E,2149309E,ON,6_23_11 10-26-56 PM
4468628E,4468628E,ON,6_23_11 10-26-56 PM
2148282E,2148282E,ON,6_23_11 10-26-56 PM
2149075E,2149075E,ON,6_23_11 10-26-56 PM
2120112E,2120112E,ON,6_23_11 10-26-56 PM
2148957E,2148957E,ON,6_23_11 10-26-56 PM
2148957E,2148957E,ON,6_23_11 10-26-56 PM
4474165E,4474165E,ON,6_23_11 10-26-56 PM
2258351E,2258351E,ON,6_23_11 10-26-56 PM
2149303E,2149303E,ON,6_23_11 10-26-56 PM
2119911E,2119911E,ON,6_23_11 10-26-56 PM
2148284E,2148284E,ON,6_23_11 10-26-56 PM
4483244E,4483244E,ON,6_23_11 10-26-56 PM
4471192E,4471192E,ON,6_23_11 10-26-56 PM
4543382E,4543382E,ON,6_23_11 10-26-56 PM
2149300E,2149300E,ON,6_23_11 10-26-56 PM
2149318E,2149318E,ON,6_23_11 10-26-56 PM
2148441E,2148441E,ON,6_23_11 10-26-56 PM
4474167E,4474167E,ON,6_23_11 10-26-56 PM
4468626E,4468626E,ON,6_23_11 10-26-56 PM
2149315E,2149315E,ON,6_23_11 10-26-57 PM
2119913E,2119913E,ON,6_23_11 10-26-57 PM
4471190E,4471190E,ON,6_23_11 10-26-57 PM
4468604E,4468604E,ON,6_23_11 10-26-57 PM
2149655E,2149655E,ON,6_23_11 10-26-57 PM
2119053E,2119053E,ON,6_23_11 10-26-57 PM
2258284E,2258284E,ON,6_23_11 10-26-57 PM
2258384E,2258384E,ON,6_23_11 10-26-57 PM
2258387E,2258387E,ON,6_23_11 10-26-57 PM
2257776E,2257776E,ON,6_23_11 10-26-57 PM
2333116E,2333116E,ON,6_23_11 10-26-57 PM
4400696E,4400696E,ON,6_23_11 10-26-57 PM
2318371E,2318371E,ON,6_23_11 10-26-57 PM
2318378E,2318378E,ON,6_23_11 10-26-57 PM
2257777E,2257777E,CYCLING,6_23_11 10-02-24 PM
2333113E,2333113E,ON,6_23_11 10-26-57 PM
2257410E,2257410E,OFF,6_23_11 2-25-46 AM
2258282E,2258282E,ON,6_23_11 10-26-57 PM
2333035E,2333035E,ON,6_23_11 10-26-57 PM
4055731E,4055731E,ON,6_23_11 10-26-57 PM
4055731E,4055731E,ON,6_23_11 10-26-57 PM
2258289E,2258289E,ON,6_23_11 10-26-57 PM
2258359E,2258359E,CYCLING,6_23_11 2-32-10 AM
2149138E,2149138E,ON,6_23_11 10-26-57 PM
2333147E,2333147E,ON,6_23_11 10-26-57 PM
2119049E,2119049E,ON,6_23_11 10-26-57 PM
2149304E,2149304E,ON,6_23_11 10-26-57 PM
2195834E,2195834E,ON,6_23_11 10-26-57 PM
4468629E,4468629E,ON,6_23_11 10-26-57 PM
2148455E,2148455E,ON,6_23_11 10-26-57 PM
4153532E,4153532E,ON,6_23_11 10-26-57 PM
2195824E,2195824E,ON,6_23_11 10-26-57 PM
2196599E,2196599E,ON,6_23_11 10-26-57 PM
2119699E,2119699E,ON,6_23_11 10-26-57 PM
2119909E,2119909E,ON,6_23_11 10-26-57 PM
2119111E,2119111E,ON,6_23_11 10-26-57 PM
4483245E,4483245E,ON,6_23_11 10-26-57 PM
2258271E,2258271E,ON,6_23_11 10-26-57 PM
2258271E,2258271E,ON,6_23_11 10-26-57 PM
2258357E,2258357E,ON,6_23_11 10-26-57 PM
2258105E,2258105E,ON,6_23_11 10-26-57 PM
2258366E,2258366E,ON,6_23_11 10-26-57 PM
2149561E,2149561E,ON,6_23_11 10-26-57 PM
2149149E,2149149E,ON,6_23_11 10-26-57 PM
2195837E,2195837E,ON,6_23_11 10-26-57 PM
2258607E,2258607E,ON,6_23_11 10-26-57 PM
2333551E,2333551E,ON,6_23_11 10-26-57 PM
2119037E,2119037E,ON,6_23_11 10-26-57 PM
2318767E,2318767E,ON,6_23_11 10-26-57 PM
2258380E,2258380E,ON,6_23_11 10-26-57 PM
2258274E,2258274E,ON,6_23_11 10-26-57 PM
2318763E,2318763E,ON,6_23_11 10-26-57 PM
2119040E,2119040E,ON,6_23_11 10-26-57 PM
2149656E,2149656E,ON,6_23_11 10-26-57 PM
2148109E,2148109E,ON,6_23_11 10-26-57 PM
2195844E,2195844E,ON,6_23_11 10-26-57 PM
2195847E,2195847E,ON,6_23_11 10-26-57 PM
2120214E,2120214E,ON,6_23_11 10-26-57 PM
2258083E,2258083E,ON,6_23_11 10-26-57 PM
2258439E,2258439E,ON,6_23_11 10-26-57 PM
2318303E,2318303E,ON,6_23_11 10-26-57 PM
2258280E,2258280E,ON,6_23_11 10-26-57 PM
2118883E,2118883E,ON,6_23_11 10-26-57 PM
2118585E,2118585E,ON,6_23_11 10-26-57 PM
2148466E,2148466E,ON,6_23_11 10-26-57 PM
2148466E,2148466E,ON,6_23_11 10-26-57 PM
2318305E,2318305E,ON,6_23_11 10-26-57 PM
2318701E,2318701E,ON,6_23_11 10-26-57 PM
2258608E,2258608E,ON,6_23_11 10-26-57 PM
2119018E,2119018E,ON,6_23_11 10-26-57 PM
2119076E,2119076E,ON,6_23_11 10-26-57 PM
2149662E,2149662E,ON,6_23_11 10-26-58 PM
2120206E,2120206E,ON,6_23_11 10-26-58 PM
2120212E,2120212E,ON,6_23_11 10-26-58 PM
2118881E,2118881E,ON,6_23_11 10-26-58 PM
2333134E,2333134E,ON,6_23_11 10-26-58 PM
2258001E,2258001E,ON,6_23_11 10-26-58 PM
2258683E,2258683E,ON,6_23_11 10-26-58 PM
2333552E,2333552E,ON,6_23_11 10-26-58 PM
2258365E,2258365E,ON,6_23_11 10-26-58 PM
2258363E,2258363E,OFF,6_23_11 2-33-48 AM
2258669E,2258669E,ON,6_23_11 10-26-58 PM
2149652E,2149652E,ON,6_23_11 10-26-58 PM
2148112E,2148112E,ON,6_23_11 10-26-58 PM
2318389E,2318389E,CYCLING,6_23_11 2-43-33 AM
2333639E,2333639E,ON,6_23_11 10-26-58 PM
2148459E,2148459E,ON,6_23_11 10-26-58 PM
2149316E,2149316E,ON,6_23_11 10-26-58 PM
2120109E,2120109E,ON,6_23_11 10-26-58 PM
2120106E,2120106E,ON,6_23_11 10-26-58 PM
2120106E,2120106E,ON,6_23_11 10-26-58 PM
2149305E,2149305E,ON,6_23_11 10-26-58 PM
4474163E,4474163E,ON,6_23_11 10-26-58 PM
4483246E,4483246E,ON,6_23_11 10-26-58 PM
2258371E,2258371E,ON,6_23_11 10-26-58 PM
2333149E,2333149E,ON,6_23_11 10-26-58 PM
2258358E,2258358E,ON,6_23_11 10-26-58 PM
2333637E,2333637E,ON,6_23_11 10-26-58 PM
2119077E,2119077E,ON,6_23_11 10-26-58 PM
2318367E,2318367E,ON,6_23_11 10-26-58 PM
