Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date
2120036E,2120036E,ON,6_23_11 10-26-51 PM
4153508E,4153508E,ON,6_23_11 10-26-51 PM
2119114E,2119114E,ON,6_23_11 10-26-51 PM
2148443E,2148443E,ON,6_23_11 10-26-51 PM
2149219E,2149219E,ON,6_23_11 10-26-51 PM
2120042E,2120042E,ON,6_23_11 10-26-51 PM
2148325E,2148325E,ON,6_23_11 10-26-51 PM
2148320E,2148320E,ON,6_23_11 10-26-52 PM
4609113E,4609113E,ON,6_23_11 10-26-52 PM
4580142E,4580142E,ON,6_23_11 10-26-52 PM
2120035E,2120035E,ON,6_23_11 10-26-52 PM
2119844E,2119844E,ON,6_23_11 10-26-52 PM
2119844E,2119844E,ON,6_23_11 10-26-52 PM
2149609E,2149609E,ON,6_23_11 10-26-52 PM
2149609E,2149609E,ON,6_23_11 10-26-52 PM
4482955E,4482955E,ON,6_23_11 10-26-52 PM
2149260E,2149260E,ON,6_23_11 10-26-52 PM
4486629E,4486629E,ON,6_23_11 10-26-52 PM
2119903E,2119903E,ON,6_23_11 10-26-52 PM
2120110E,2120110E,ON,6_23_11 10-26-52 PM
2148827E,2148827E,ON,6_23_11 10-26-52 PM
2119290E,2119290E,ON,6_23_11 10-26-52 PM
2119296E,2119296E,ON,6_23_11 10-26-52 PM
2257106E,2257106E,ON,6_23_11 10-26-52 PM
2118895E,2118895E,ON,6_23_11 10-26-52 PM
4400683E,4400683E,ON,6_23_11 10-26-52 PM
2251235E,2251235E,ON,6_23_11 10-26-52 PM
1945468E,1945468E,ON,6_23_11 10-26-52 PM
2257966E,2257966E,ON,6_23_11 10-26-52 PM
2257110E,2257110E,ON,6_23_11 10-26-52 PM
2120043E,2120043E,ON,6_23_11 10-26-52 PM
2194747E,2194747E,ON,6_23_11 10-26-52 PM
2119914E,2119914E,ON,6_23_11 10-26-52 PM
4486627E,4486627E,ON,6_23_11 10-26-52 PM
2148966E,2148966E,ON,6_23_11 10-26-52 PM
2148959E,2148959E,ON,6_23_11 10-26-52 PM
2119683E,2119683E,ON,6_23_11 10-26-52 PM
2119298E,2119298E,ON,6_23_11 10-26-52 PM
2119688E,2119688E,ON,6_23_11 10-26-52 PM
4288065E,4288065E,ON,6_23_11 10-26-52 PM
4288065E,4288065E,ON,6_23_11 10-26-52 PM
4288068E,4288068E,ON,6_23_11 10-26-52 PM
4288068E,4288068E,ON,6_23_11 10-26-52 PM
2148972E,2148972E,ON,6_23_11 10-26-52 PM
2119232E,2119232E,ON,6_23_11 10-26-52 PM
2251559E,2251559E,ON,6_23_11 10-26-52 PM
4400699E,4400699E,ON,6_23_11 10-26-52 PM
2149066E,2149066E,ON,6_23_11 10-26-52 PM
