Original_Structure_Number,Field_Structure_Number,Pole_XY_Coordinate,Lens_Type
4618221E,4618221E,1226715.83728109;12336531.365766,FLAT
4618224E,4618224E,1226727.8557416;12337071.1510196,FLAT
4618244E,4618244E,1227892.62492339;12336679.044022,FLAT
4618254E,4618254E,1225846.52078289;12336499.6769379,FLAT
4618257E,4618257E,1225883.59058077;12336659.1759382,FLAT
4618263E,4618263E,1225214.50801464;12336031.9494788,FLAT
4618274E,4618274E,1225429.28455328;12337170.0301276,FLAT
4618363E,4618363E,1226317.58220508;12334893.7276432,FLAT
4618366E,4618366E,1225980.53799147;12335195.7734039,FLAT
4618383E,4618383E,1225536.74988315;12335029.9208395,FLAT
4618385E,4618385E,1225963.91721432;12334295.2827587,FLAT
4618392E,4618392E,1226391.88346254;12334822.5356417,FLAT
4618398E,4618398E,1226850.90541571;12334461.840923,FLAT
4618610E,4618610E,1232741.11972912;12335914.0631557,FLAT
4618636E,4618636E,1232409.81134551;12336479.9068095,DROP
4618645E,4556297E,1231698.7474335;12336875.5103765,DROP
4619453E,4619453E,1229365.61921513;12338305.6972103,FLAT
4619492E,4619492E,1228389.47974102;12338187.2734376,FLAT
4634062E,4634062E,1235693.99804045;12339006.2842194,FLAT
4634149E,4634149E,1235651.88666789;12338261.9754524,DROP
4634902E,4634902E,1233021.18673462;12338205.6488456,FLAT
4634917E,4634917E,1232890.71297873;12337805.8956584,FLAT
4634938E,4634938E,1231686.39898031;12338693.4622303,FLAT
4682230E,4682230E,1229405.25024994;12335731.9463838,FLAT
530117E,530117E,1229240.331773;12333515.8712269,DROP
538583H,538583H,1229611.65305862;12335619.8041108,DROP
702772E,702772E,1229823.05983695;12334730.1560932,DROP
747310H,747310H,1224633.73821851;12338351.2478394,DROP
871467E,871467E,1231362.57853671;12334399.1710313,DROP
CONV236708,785060E,1227100.95622605;12338158.1746694,DROP
CONV569582,851877E,1221133.38845667;12337372.8851174,DROP
CONV569643,CONV569643,1225191.12536472;12336925.1529537,DROP
CONV570119,851861E,1224355.68442165;12337575.9489814,DROP
CONV571123,1516579E,1229499.8502978;12333788.4663898,DROP
CONV571124,1631114E,1229401.95120743;12333641.7551449,DROP
CONV591315,CONV591315,1229066.05966036;12338439.1409147,DROP
1700094E,1700094E,1227688.13992378;12332949.1204427,DROP
1767067E,4596740E,1231604.90138135;12333042.1748098,FLAT
1790998E,1790998E,1231988.63253233;12332794.2162063,DROP
1791301E,1791301E,1232598.95763115;12328594.7710399,FLAT
1892753E,1892753E,1228363.76801677;12332234.4175182,DROP
1982948E,1982948E,1229013.25963079;12332969.8861137,DROP
2175180E,2175180E,1224565.85271882;12331823.8454559,DROP
2380651E,2380651E,1224069.72757803;12331425.3386322,DROP
293485E,293485E,1225951.5196535;12332809.7179882,DROP
4585711E,4585711E,1231230.79169536;12330800.3001382,FLAT
4585713E,4585713E,1231485.00056016;12331002.2229007,FLAT
4585714E,4585714E,1231564.38722612;12330848.957476,FLAT
4585726E,4585726E,1231338.80414631;12330186.9680799,FLAT
4585727E,4585727E,1231416.17187824;12330215.960446,FLAT
4585757E,4585757E,1230917.32394239;12328992.5867065,FLAT
4585762E,4585762E,1231178.33769555;12328611.2382961,FLAT
4585796E,4585796E,1232128.2319991;12329534.7802259,FLAT
4585799E,4585799E,1231614.04196815;12329781.9747323,FLAT
4585879E,4585879E,1229757.79410088;12330633.4719038,FLAT
4585885E,4585885E,1228121.01810982;12330403.0166117,FLAT
4595792E,4595792E,1228950.42444685;12330005.7164631,DROP
4596384E,4596384E,1231846.01418552;12332130.1457926,FLAT
4596388E,4596388E,1232866.76018021;12332451.1891177,FLAT
4596852E,4596852E,1225641.29417965;12330394.6414034,FLAT
4596862E,4596862E,1226285.85327446;12330761.6002194,DROP
4596869E,4596869E,1226284.94598656;12329999.6975743,FLAT
4596876E,4596876E,1226523.20893395;12330791.2252391,FLAT
4596899E,4596899E,1230250.79930985;12329792.1605272,FLAT
4597751E,4597751E,1232602.1349628;12329531.6189351,FLAT
4597779E,4597779E,1229258.45154163;12329286.2820254,FLAT
4597928E,4597928E,1225659.42864769;12328969.7647471,FLAT
4701495E,4701495E,1231355.91532497;12332810.4420168,DROP
484638H,484638H,1229414.90523356;12329870.0171904,DROP
600044H,600044H,1229005.98831428;12330180.3005649,DROP
679992H,679992H,1228906.89650227;12332787.2902671,DROP
770585H,770585H,1230864.74163017;12331715.9535176,DROP
96221H,96221H,1224019.81468285;12331047.0305319,DROP
CONV570320,4560303E,1230376.12602549;12331587.3246686,DROP
CONV570337,1055475E,1232099.19117884;12332453.817586,DROP
CONV573803,431472H,1226875.02253454;12328407.6179788,DROP
1636661E,1636661E,1237127.46499927;12330290.6906794,DROP
1791061E,1791061E,1238611.10252425;12327738.7112113,DROP
2247540E,819908E,1238159.86232778;12330946.1861782,DROP
300823E,300823E,1240122.29113078;12330305.7455862,DROP
417425E,417425E,1238740.35766372;12331220.601361,DROP
4370883E,4370883E,1238402.58727834;12334387.6062537,DROP
4484382E,4121463E,1239318.03600675;12333661.7876913,DROP
4585319E,4585319E,1237233.63753519;12331843.1214561,FLAT
4585406E,4585406E,1238565.16285671;12327512.339242,FLAT
4585407E,4585407E,1238570.42115238;12327378.2875769,FLAT
4585408E,4585408E,1238596.96801199;12327189.9634827,FLAT
